Banco|Produto|Tipo Fonte|URL|Campo a validar|Estado auditoria|Ativo|Notas auditoria
Banco BAI Europa|Depósito a Prazo Premium|FIN/PDF|https://depositoaprazo.bancobaieuropa.pt/wp-content/uploads/2026/02/FIN_DP_Particulares_Premium_022026.pdf|TANB;Prazo;Mínimo;Máximo;Mobilização;Renovação|Validado|Sim|FIN oficial validada. Premium 12M 2.15 por cento e 24M 2.10 por cento. Fonte principal.
Banco BAI Europa|Depósito a Prazo Premium|Página comercial|https://depositoaprazo.bancobaieuropa.pt/|TANB;Prazo;Mínimo;Máximo;Mobilização|Validado|Sim|Página comercial oficial validada. Usar como fonte secundária.
Banco BAI Europa|Depósito a Prazo Novos Clientes|FIN/PDF|https://depositoaprazo.bancobaieuropa.pt/wp-content/uploads/2026/03/FIN_DP_Particulares_Novos_Clientes_0302026.pdf|TANB;Prazo;Mínimo;Máximo;Novos clientes;Mobilização;Renovação|Validado|Sim|FIN oficial validada. Novos Clientes 3M 2.30 por cento e 6M 2.40 por cento. Não mobilizável.
ActivoBank|Depósito a Prazo Novos Clientes AB|Página oficial|https://www.activobank.pt/depositos-prazo-dinheiro-novo|TANB;Prazo;Mínimo;Máximo;Novos clientes;Mobilização|Validado com nota|Sim|Link oficial validado. Confirmar prazo no dataset porque a página indica 60 dias.
ActivoBank|Preçário Depósitos a Prazo|Preçário/PDF|https://www.activobank.pt/PDF/PRECARIO_Aviso_8_2009.pdf|TANB;Prazo;Mínimo;Condições gerais;Mobilização|Validado|Sim|Preçário oficial validado. Fonte de controlo.
ActivoBank|Depósito Dinheiro Novo AB|Preçário/PDF|https://www.activobank.pt/PDF/PRECARIO_Aviso_8_2009.pdf|TANB;Prazo;Mínimo;Condições gerais|Validado|Sim|Preçário confirma produto distinto de Novos Clientes AB.
Banco Best|Depósito Novos Clientes|Página oficial|https://www.bancobest.pt/ptg/best_deposito-prazo-novos-clientes|TANB;Prazo;Mínimo;Máximo;Novos clientes;Mobilização|Validado|Sim|Página oficial encontrada. Usar como fonte principal.
Banco BiG|Super Depósito 3 Meses|Página oficial|https://www.big.pt/TaxasDepositos/TodosDepositos/Details/PTDP2025074|TANB;Prazo;Mínimo;Máximo;Novos clientes;Mobilização|Validado|Sim|Página direta oficial validada. Produto 3M TANB 3.00 por cento. Fonte principal.
Banco BiG|Super Depósito 3 Meses|FIN/PDF|https://www.big.pt/TaxasDepositos/DepositosPrazo/FIN?DepositCode=PTDP2025074|TANB;Prazo;Mínimo;Máximo;Novos clientes;Mobilização|Validado parcial|Sim|FIN oficial abre. Produto 3M. Usar como controlo manual.
Banco BiG|Super Depósito 6 Meses|Página oficial|https://www.big.pt/TaxasDepositos/TodosDepositos/Details/PTDP2025075|TANB;Prazo;Mínimo;Máximo;Novos clientes;Mobilização|Validado|Sim|Página direta oficial validada. Produto 6M TANB 2.50 por cento. Fonte principal.
